# bicep3, run09 optical efficiency results, 20170201
BODY 
GCP,     MCE,     TILE,    MODULE, DET_COL, DET_ROW, MCE_COL, MCE_ROW, POL,    TYPE,   RGL,     RNTI,             PSAT_LN2,          PSAT_AMBIENT,      DPDT                 
,        ,        ,        ,       ,        ,        ,        ,        ,       ,       ,        mOhm,             pW @074K,          pW @242K,          pW/K                 
integer, integer, integer, string, integer, integer, integer, integer, string, string, integer, float,            float,             float,             float                
148,     0,       13,      P4,     8,       2,       6,       16,      B,      L,      1,       NaN,              NaN,               NaN,               NaN                  
149,     0,       13,      P4,     8,       4,       6,       17,      A,      L,      1,       92.226958807144,  118.146163100727,  99.9839730651708,  0.103194261565658    
150,     0,       13,      P4,     8,       4,       6,       18,      B,      L,      1,       95.2937664625881, 115.783074333931,  97.3782854188634,  0.104572664290156    
151,     0,       13,      P4,     8,       6,       6,       19,      A,      L,      1,       NaN,              NaN,               NaN,               NaN                  
152,     0,       13,      P4,     8,       6,       6,       20,      B,      L,      1,       98.4461319929643, 112.461203946353,  94.1862456723554,  0.103834990193169    
153,     0,       13,      P4,     8,       8,       6,       21,      A,      D,      1,       108.711654056977, 159.362801331397,  158.753242314233,  0.00346340350661786  
154,     0,       13,      P4,     NaN,     NaN,     7,       0,       ,       O,      1,       NaN,              NaN,               NaN,               NaN                  
155,     0,       13,      P4,     3,       8,       7,       1,       A,      L,      1,       NaN,              NaN,               NaN,               NaN                  
156,     0,       13,      P4,     3,       8,       7,       2,       B,      L,      1,       104.298728317015, 139.189956339711,  120.014577185291,  0.108951017922841    
157,     0,       13,      P4,     4,       2,       7,       3,       A,      L,      1,       90.8704014066124, 131.059240865937,  NaN,               NaN                  
158,     0,       13,      P4,     4,       2,       7,       4,       B,      L,      1,       90.9521243309986, 122.799149516988,  104.343215056752,  0.104863263978615    
159,     0,       13,      P4,     4,       4,       7,       5,       A,      L,      1,       85.1937507841892, 136.337411694463,  117.682840971337,  0.10599187910867     
160,     0,       13,      P4,     4,       4,       7,       6,       B,      L,      1,       84.7177483742815, 133.655889329157,  114.629561193585,  0.108104137133935    
161,     0,       13,      P4,     4,       6,       7,       7,       A,      L,      1,       88.2172558559195, 123.634834530589,  104.652456831968,  0.107854418742164    
162,     0,       13,      P4,     4,       6,       7,       8,       B,      L,      1,       NaN,              NaN,               NaN,               NaN                  
163,     0,       13,      P4,     4,       8,       7,       9,       A,      L,      1,       NaN,              NaN,               NaN,               NaN                  
164,     0,       13,      P4,     4,       8,       7,       10,      B,      L,      1,       NaN,              NaN,               NaN,               NaN                  
165,     0,       13,      P4,     5,       2,       7,       11,      A,      L,      1,       91.313518270055,  127.059929639503,  109.93430659152,   0.0973046764089918   
166,     0,       13,      P4,     5,       2,       7,       12,      B,      L,      1,       90.6349443077686, 118.379400594734,  99.8675362527404,  0.105181047397692    
167,     0,       13,      P4,     5,       4,       7,       13,      A,      L,      1,       85.924430888465,  125.680176792289,  105.555510060736,  0.11434469733837     
168,     0,       13,      P4,     5,       4,       7,       14,      B,      L,      1,       86.363274020317,  120.887881083875,  101.510881836028,  0.110096586635497    
169,     0,       13,      P4,     5,       6,       7,       15,      A,      L,      1,       NaN,              NaN,               NaN,               NaN                  
170,     0,       13,      P4,     5,       6,       7,       16,      B,      L,      1,       88.1802259587752, 118.059976898451,  98.7736309720405,  0.109581510945513    
171,     0,       13,      P4,     5,       8,       7,       17,      A,      L,      1,       97.0318148675161, 118.114918362139,  99.0997018001964,  0.108041003192857    
172,     0,       13,      P4,     5,       8,       7,       18,      B,      L,      1,       97.8981867113246, 129.955698208083,  111.068154139701,  0.107315591297622    
173,     0,       13,      P4,     6,       2,       7,       19,      A,      L,      1,       89.892022004548,  130.872340447192,  112.932544448033,  0.101930659086132    
174,     0,       13,      P4,     6,       2,       7,       20,      B,      L,      1,       91.7998642839359, 117.924586420681,  99.8165563412994,  0.102886534541939    
175,     0,       13,      P4,     NaN,     NaN,     7,       21,      ,       O,      1,       NaN,              NaN,               NaN,               NaN                  
176,     0,       13,      P4,     1,       2,       8,       0,       A,      L,      1,       NaN,              NaN,               NaN,               NaN                  
177,     0,       13,      P4,     1,       2,       8,       1,       B,      L,      1,       109.323821080722, 150.47650713716,   104.431970801075,  NaN                  
178,     0,       13,      P4,     1,       4,       8,       2,       A,      L,      1,       104.593079057515, 117.301827020308,  91.9095599884294,  0.144274244499309    
179,     0,       13,      P4,     1,       4,       8,       3,       B,      L,      1,       98.6283163946699, 121.787959736826,  102.524795214768,  0.109449798420782    
180,     0,       13,      P4,     1,       6,       8,       4,       A,      L,      1,       113.792455017473, 128.919403628499,  152.03323121085,   NaN                  
181,     0,       13,      P4,     1,       6,       8,       5,       B,      L,      1,       105.494682779082, 99.0911214052133,  84.0281276559937,  0.0855851917569298   
