Date_________JDUT, , ,Azi_(a-app), Elev_(a-app),
************************************************
$$SOE
2459548.690277778,*,m, 154.647491,    21.660684,
2459548.690972222,*,m, 154.397567,    21.660809,
2459548.691666667,*,m, 154.147644,    21.660934,
2459548.692361111,*,m, 153.897720,    21.661059,
2459548.693055556,*,m, 153.647797,    21.661184,
2459548.693750000,*,m, 153.397873,    21.661309,
2459548.694444444,*,m, 153.147949,    21.661435,
2459548.695138889,*,m, 152.898026,    21.661560,
2459548.695833333,*,m, 152.648102,    21.661686,
2459548.696527778,*,m, 152.398179,    21.661811,
2459548.697222222,*,m, 152.148255,    21.661937,
2459548.697916667,*,m, 151.898331,    21.662063,
2459548.698611111,*,m, 151.648408,    21.662189,
2459548.699305556,*,m, 151.398484,    21.662315,
2459548.700000000,*,m, 151.148560,    21.662441,
2459548.700694445,*,m, 150.898636,    21.662568,
2459548.701388889,*,m, 150.648713,    21.662694,
2459548.702083333,*,m, 150.398789,    21.662821,
2459548.702777778,*,m, 150.148865,    21.662947,
2459548.703472222,*,m, 149.898941,    21.663074,
2459548.704166667,*,m, 149.649017,    21.663201,
2459548.704861111,*,m, 149.399093,    21.663328,
2459548.705555555,*,m, 149.149169,    21.663455,
2459548.706250000,*,m, 148.899245,    21.663583,
2459548.706944444,*,m, 148.649321,    21.663710,
2459548.707638889,*,m, 148.399397,    21.663837,
2459548.708333333,*,m, 148.149473,    21.663965,
2459548.709027778,*,m, 147.899549,    21.664093,
2459548.709722222,*,m, 147.649625,    21.664220,
2459548.710416667,*,m, 147.399701,    21.664348,
2459548.711111111,*,m, 147.149777,    21.664476,
2459548.711805556,*,m, 146.899853,    21.664604,
2459548.712500000,*,m, 146.649929,    21.664732,
2459548.713194444,*,m, 146.400005,    21.664861,
2459548.713888889,*,m, 146.150080,    21.664989,
2459548.714583333,*,m, 145.900156,    21.665118,
2459548.715277778,*,m, 145.650232,    21.665246,
2459548.715972222,*,m, 145.400307,    21.665375,
2459548.716666667,*,m, 145.150383,    21.665504,
2459548.717361111,*,m, 144.900459,    21.665633,
2459548.718055556,*,m, 144.650534,    21.665762,
2459548.718750000,*,m, 144.400610,    21.665891,
2459548.719444444,*,m, 144.150685,    21.666020,
2459548.720138889,*,m, 143.900761,    21.666149,
2459548.720833333,*,m, 143.650836,    21.666279,
2459548.721527778,*,m, 143.400912,    21.666408,
2459548.722222222,*,m, 143.150987,    21.666538,
2459548.722916667,*,m, 142.901063,    21.666668,
2459548.723611111,*,m, 142.651138,    21.666798,
2459548.724305556,*,m, 142.401213,    21.666928,
2459548.725000000,*,m, 142.151289,    21.667058,
2459548.725694444,*,m, 141.901364,    21.667188,
2459548.726388889,*,m, 141.651439,    21.667318,
2459548.727083333,*,m, 141.401514,    21.667448,
2459548.727777778,*,m, 141.151590,    21.667579,
2459548.728472222,*,m, 140.901665,    21.667709,
2459548.729166667,*,m, 140.651740,    21.667840,
2459548.729861111,*,m, 140.401815,    21.667971,
2459548.730555556,*,m, 140.151890,    21.668101,
2459548.731250000,*,m, 139.901965,    21.668232,
2459548.731944445,*,m, 139.652040,    21.668363,
2459548.732638889,*,m, 139.402115,    21.668495,
2459548.733333333,*,m, 139.152190,    21.668626,
2459548.734027778,*,m, 138.902265,    21.668757,
2459548.734722222,*,m, 138.652340,    21.668888,
2459548.735416667,*,m, 138.402415,    21.669020,
2459548.736111111,*,m, 138.152490,    21.669151,
2459548.736805555,*,m, 137.902564,    21.669283,
2459548.737500000,*,m, 137.652639,    21.669415,
2459548.738194444,*,m, 137.402714,    21.669547,
2459548.738888889,*,m, 137.152788,    21.669679,
2459548.739583333,*,m, 136.902863,    21.669811,
2459548.740277778,*,m, 136.652938,    21.669943,
2459548.740972222,*,m, 136.403012,    21.670075,
2459548.741666667,*,m, 136.153087,    21.670207,
2459548.742361111,*,m, 135.903161,    21.670340,
2459548.743055556,*,m, 135.653236,    21.670472,
2459548.743750000,*,m, 135.403310,    21.670605,
2459548.744444444,*,m, 135.153385,    21.670738,
2459548.745138889,*,m, 134.903459,    21.670870,
2459548.745833333,*,m, 134.653533,    21.671003,
2459548.746527778,*,m, 134.403608,    21.671136,
2459548.747222222,*,m, 134.153682,    21.671269,
2459548.747916667,*,m, 133.903756,    21.671402,
2459548.748611111,*,m, 133.653830,    21.671536,
2459548.749305556,*,m, 133.403905,    21.671669,
